format version:	1.3						
date:	11/7/16						
default chronostrat:	UNESCO						
age units:	Ma						
chart title:	TimeScale Creator GTS2016 chart						
							
							
Standard Chronostratigraphy	:	Eon	Era	Sub-Era	Period	Sub-Period	Epoch
	E	139.39		"Base of Valanginian (base of Tirnovella pertransiens ammonite zone in Tethyan Realm) is assigned here as Chron M14r(0.3).  T. otopeta, formerly basal Valanginian, is now assigned to Berriasian.  Note that the Berriasian is much shorter in duration in GTS2004, even with this transfer of an ammonite zone.  This reflects the postulated faster spreading model (and dropping of U-Pb date of 137 reported for uppermost Berriasian), hence Pacific anomalies represent shorter time."	153/211/106		
	Lt	141.93		Base of Subthurmannia boissieri ammonite zone	140/205/96		
	M	143.57		Base of Subthurmannia occitanica ammonite zone	140/205/96		
	E	145.01	dotted	"Not yet defined.  Higher option is Base of Chron M18r for GTS2012; but may eventually be assigned to a calpionellid, nannofossil or ammonite datum."	140/205/96		
	 - 	145.73		Voting by Jur-Cret Boundary Working Group (June2016) was to use the Base of Calp. alpina zone (Calp. B)	140/205/96		
	Lt	147.72		Late Tithonian = base of M. microcanthum	217/241/247		
	E	152.06		"Not yet defined.  Set as Base of Chron M22An, which is nearly coeval with base of H. hybonotum ammonite zone at Crussol Mountain, France"	217/241/247		
	Lt	154.73	dashed	"Late Kimmeridgian (Boreal usage; shown here) = Base of A. mutabilis ammonite Zone.  Tethyan usage is base of A. acanthicum Zone, about 0.3 myr higher."	204/236/244		
	E	157.25		"Base of P. baylei ammonite zone (Isle of Skye), using lowest occurrence of P. flodigarriensis ammonite (not yet ratified) which is essentially coeval with Base of Chron M26r at the GSSP. Same as base of redefined E. bimammatum zone in Poland magstrat reference section."	204/236/244		
	Lt	159.49	dashed	"Base Lt.Oxf. (Boreal usage) = base P. cautisnigrae, as used here.  In Tethyan usage, it ""was"" higher"" (base of P. bifurcatus); but new base-Kimm (Boreal) assignment implies that this version is truncated (very brief)"	191/231/241		
	M	160.63		M.Oxf. = base P. plicatilis ammonite zone	191/231/241		
	E	163.06		"Base of Q. mariae ammonite zone using base of woodhamense horizon at Dorset.  GSSP is not yet decided, but this level at Redcliff (England) candidate has been correlated to 25% up in Chron M36Br of Deep-tow extension to M-Sequence."	191/231/241		
	Lt	163.97	dashed	"DASHED due to different regional usage:  Late Callovian base in Sub-Mediterranean province is placed at the base of the Peltoceras athleta Zone (Hecticoceras trezeense Subzone) -- shown here.  In the Sub-Boreal province, the substage boundary is placed at the base of a different definition for the base of Peltoceras athleta Zone (Kosmoceras phaeinum Subzone); a subzone lower than in the Sub-Mediterranean province "	191/231/229		
	M	164.63		"Middle Callovian base in Sub-Mediterranean province is placed at the base of the Reineckeia anceps Zone.  In the Sub-Boreal province, the substage boundary is placed at the base of the Kosmoceras jason Zone.  These two levels are considered approximately coeval."	191/231/229		
	E	166.07		"Base of B. bullatus ammonite zone.  GSSP is not yet decided.  In magnetostratigraphy from the Albstadt-Pfeffingen GSSP candidate (Swabia, Germany), this level is the base of a brief normal-polarity zone, which is interpreted to be the base of marine magnetic anomaly M39n.3n in the Deep-Tow extension to M-Sequence (using mid-depth projection)"	191/231/229		
	Lt	166.49	dashed	"DASH due to Different Versions:  In the Sub-Mediterranean province (Tethyan province), a Middle/Upper Bathonian boundary is assigned to the base of the Hecticoceras (Prohecticoceras) retrocostatum Zone.  In the Northwest European province (Boreal province), a substage boundary is commonly assigned to the base of the Procerites (Procerites) hodsoni Zone, which is a significantly older level (Groupe Franˆais d?êtude du Jurassique, 1997). "	179/226/227		
	M	167.37		Middle Bathonian = base of Procentes progracilis ammonite zone	179/226/227		
	E	168.28		"Base of Z. zigzag  ammonite zone at Ravin du B_s-Bas Auran (France).  In magnetostratigraphy of Spain, this level is the base of a normal-polarity zone, which is interpreted to be the base of marine magnetic anomaly M42n.1n in the Deep-Tow extension to M-Sequence (using mid-depth projection)"	179/226/227		
	Lt	169.45		Late Bajocian = base of Strenoceras niortense ammonite zone	166/221/224		
	E	170.3		"Base of H. discites ammonite zone at Cabo Mondego (Portugal).  In combined magnetostratigraphy of Spain and Switzerland, this level is in the uppermost part (ca. 80% up) of a reversed-polarity-dominated zone, which is interpreted to be marine magnetic anomaly M44n.1r in the Deep-Tow extension to M-Sequence (using mid-depth projection)"	166/221/224		
	Lt	170.83		Late Aalenian is the Graphoceras concavum Zone	154/217/221		
	M	172.13		Middle Aalenian comprises the Ludwigia murchisonae and Brasilia bradfordensis Zones	154/217/221		
	E	174.15		Base of L. opalinum ammonite zone at Fuentelsaz (Spain).  	154/217/221		
	Lt	178.24	dashed	"DASH -- Late Toarcian substage boundary not standardized.   Base of the Haugia variabilis ammonite zone is used here.  But an alternate three-substage division (e.g., Groupe Franˆais d?êtude du Jurassique, 1997) groups the Haugia variabilis and underlying Hildoceras bifrons zones into a Middle Toarcian, and places the limit of an Upper Toarcian at the base of the Grammoceras thouarsense Zone. "	153/206/227		
	E	183.7		Base of D. tenuicostatum ammonite zone; with GSSP in either Portugal (2012)	153/206/227		
	Lt (Domerian)	188.29		Late Pliensbachian (Domerian) = base of  Amaltheus margaritatus ammonite Zone 	128/197/221		
	E (Carixian)	191.36		Base of U. jamesoni ammonite zone at Robin Hood?s Bay (England)  	128/197/221		
	Lt (Lotharingian)	195.59		Late Sinemurian (Lotharingian) = base of  Asteroceras obtusum ammonite Zone 	103/188/216		
	E	199.36		Base of A. bucklandi ammonite zone at East Quantoxhead (England).  	103/188/216		
	 	201.36		Hettangian has no standard substages	78/179/211		
		205.81	dotted		227/185/219		
	 	209.56	dotted	No substages of Rhaetian	227/185/219		
	Sevatian	214.07	dotted	"LATE Norian.  Assigned as base of Sagenites quinquepunctatus in common usage (e.g., Jenks et al., 2015)  However, to avoid a Very Short Sevatian IF the Austrlia GSSP candidate is accepted that has truncated the former upper part of that Sevatian, Kozur (2003, and written to Jim Ogg, 2006) proposed incorporating the next lower ammonoid zone of Halorites macer."	214/170/211		
	Alaunian	217.52	dotted	MIDDLE Norian.  Assigned as base of Cyrtopleurites bicrenatus Ammonoid zone (Tethyan).	214/170/211		
	Lacian	228.45	dashed	"EARLY Norian.  DASHED.  Assigned here as base of Tethyan Guembelites jandianus ammonoid zone, pending decision on GSSP.  Used proposed Norian GSSP at Pizzo Mondello (Italy), where base of Normal PM5n at GSSP) using Short Tuvalian option, is correlated to Base E7n; and assumed that this age which partly uses conodont markers also applied to the ammonoid zone.  However, Muttoni et al. (e.g., in Muttoni et al., 2014, or Maron et al., 2015) prefer a correlation to Base E8n (assuming Newark pattern failed to resolve a thin reversed-polarity zone in upper PM5n, etc. => about 1 myr younger.  Kozur uses S. kerri (N.Amer.) for this ""standard zone""."	214/170/211		
	Tuvalian	233.6		LATE Carnian.  Tuvalian base is traditionally base of Tropilites diller Ammonoid zone.	201/155/203		
	Julian	235.59	dotted	"DOTTED - Base of Julian substage is EITHER base of Carnian (most common) or base of Trachyceras aonoides Ammonoid zone, which retains the original definition prior to lowering of ""traditional Carnian base"" with GSSP at base of D. canadensis Zone.  Bachmann (Aug 2015 to J.Ogg urges a two-fold division of Early Carnian): ""The Julian begins with the Trachyceras aonoides Zone, which is characterised by both the disappearance of the last Ladinian holdovers and by the appearance of numerous new Carnian or Carnian-Norian types in all stratigraphically important fossil groups, especially well recognisable in radiolarian faunas. """	201/155/203		
	Cordevolian	237		"EARLY CARNIAN - BUT:  ""Cordevolian"" is a controversial additional subdivision of Early Carnian that equates to D. canadensis and Trachyceras aon Ammonoid Zones.  Bachmann (Aug2015 to J.Ogg): ""As pointed out by KOZUR (2003), the priority subdivision of the Carnian into the Cordevolian, Julian and Tuvalian substages (MOJSOSIVICS et al. 1895) should be preserved. Lumping the original Cordevolian and Julian into a new extended Julian substage (e. g. KRYSTYN 1974) violates the priority without convincing faunistic reason. Very characteristic for the Cordevolian is the co-occurrence of Ladinian and Carnian elements in all fossil groups, whereas the Ladinian elements disappear around the base of the Julian. The high percentage of Ladinian elements, in addition to the first occurrence of many Carnian forms, is the reason why the Cordevolian was for a long time considered to represent the youngest substage of the Ladinian.  The Julian begins with the Trachyceras aonoides Zone, which is characterised by both the disappearance of the last Ladinian holdovers and by the appearance of numerous new Carnian or Carnian-Norian types in all stratigraphically important fossil groups, especially well recognisable in radiolarian faunas. """	201/155/203		
	Longobardian	239.1	dashed	LATE Ladinian or Longobardian substage is traditionally assigned as base of Protrachyceras longobardicum Ammonoid zone in Tethyan realm.	201/131/191		
	Fassanian	241.5		EARLY Ladinian substage is Fassanian in traditional usage in Tethyan region.	201/131/191		
	Illyrian	243.43	dashed	LATE Anisian is traditionally the Illyrian substage that begins in the Tethyan realm with the Paraceratites trinodosus Ammonoid zone.	188/117/183		
	Pelsonian	244.34	dashed	MIDDLE Anisian is traditionally the Pelsonian substage that begins in the Tethyan realm with the Balatonites balatonicus Ammonoid zone.	188/117/183		
	Bithynian	245.09	dashed	Bithynian substage of late-EARLY Anisian traditionally begins in the Tethyan realm with the Kocaella Ammonoid zone.	188/117/183		
	Aegean	246.8	dashed	"EARLY Anisian is traditionally the  Aegean substage that begins in the Tethyan realm with the Japonites welteri Ammonoid zone.  But, base of Conodont Ch. timorensis is used here for base of Anisian, hence of Aegean."	188/117/183		
	Spathian	248.2	dashed	"DASH -- Approx. magstrat Placement.  Base Spathian (LATE OLENEKIAN) is not formally defined.  Base of Spathian in Boreal ammonite zonation is about 70% up in Hounslow-Muttoni LT5n-7n (= a single CG8n; used here); and this fits cycle-scaling relative to base-Triassic in S.China's conodont-version [DONE INDEPENDENTLY HERE].  Szurlies (2004) has the conchostracan-version at about 75% up in his Magzone CG7n (which may be a small gap) = base of Detfurth cycles in Germanic system.   GTS04 -- Computed Smithian duration (as shown in cell) was from 8 conodont units (of 28):   Sweet & Bergstrîm (1986) obtain 7 time units for their ""Smithian"", and I've added another 1 unit for lower N. pakistanensis conodont zone (see below) => 8 units.  Base-Spathian is FAD of Ns. triangularis in their scheme, and this has been retained here."	176/81/165		
	Smithian	249.81	dashed	"Base of Olenekian (base of Smithian substage) -- Assumed coincidence of Chaohu conodont marker for GSSP candidate and Tethyan ammonite zone usage (base of Flemingite, which is nearly same level at Chaohu).  At Chaohu GSSP candidate, this is just below (0.05 used here) the base of Hounslow-Muttoni magnetozone LT3n (CG6n of Szurlies 2007) => base-Induan (as used at Chaohu) would be base of Germanic cycle s3.3; Chaohu 405kyr cycle-strat suggests the Magzone is about 20% up in ""e5.2"" of Mingsong'a band-pass version for 100kyr cycles (Mingsong Li to JOgg Aug2015), rather than 50% up (Szurlies cycles); but this assumed constant rates within 405kyr cycles; plus bases of Szurlies cycles are defined differently than Chaohu cycles.  Decided to stay with Szurlies 100kyr scale as standard for the moment."	176/81/165		
	Dienerian	250.6	dotted	"LATE INDUAN.  DOTTED -- Base of Dienerian (traditionally base of Proptychites candidus Boreal ammonoid zone) is assigned from a potential conodont marker as ca. 25% up in LT2n of Hounslow-Muttoni'10 = middle of Szulies Magzone CG5n (sn2 of Szurlies'03) (GR2 of Ogg).  GTS04 -- Computed ""GSSP-based Griesbachian"" duration from 3 conodont units (of 28):   Sweet & Bergstrîm (1986) obtain 3.5 time units for their ""Griesbachian"" (base-Dienerian = base N. kummeli), of which FAD H.parvus (=I.isarcica) occurs 1 unit above former Griesbachian base (=base O.concavum).  In their scheme, revised Griesbachian would be 2.5 units.  However, Orchard-Tozer indicate that base-Dienerian is slightly above base Ns. dieneri, whereas Sweet and Bergstrîm had had placed this Ns. dieneri 0.1 unit below base of their Dienerian.  Therefore, considering units/ammonte zone, I assigned this to be 0.5 units below actual Dierian base => Griesbachian spans 3 units, and Dienerian is shortened (at base) by 0.5 unit."	164/70/159		
	Griesbachian	251.9		"FAD of H. parvus = Base of Triassic, by definition at Meishan GSSP boundary with dating = 251.90 Ma = FIXED age (Burgess et al., 2014).  In GTS2012, was 252.16 Ma (from Shen et al., 2010; Bowring ages in Lopingian paper). VERY brief.   Kozur (2003) estimates duration of H. parvus zone to be 0.1 myr, which is fairly consistent with Sweet's scaling."	164/70/159		
	TOP	358.94		Added a psedo-one to close off Famennian			
	Lt	363.19	dotted	Proposed base of Upper Famennian by Thomas Becker is base of anulata global anoxic event (reported in Devonian newsletter of June 2014; intended for vote in 2015)	242/237/197		
	E	372.24		Base of Famennian	242/237/197		
	Lt	376.54		"Proposed base of Upper Frasnian begins the base of TR IId(1) which is the Rhinestreet deepening in eastern North America. This is approximated by Ancyrognathus barba, a distinct taxon, and a dated ash horizon, the Belpre Ash at 381.1 +/- 1.3 Ma (Tucker et al., 1998).  This is also the base of feisti conodont zone on Becker's chart (2010)"	242/237/173		
	M	380.38		"Proposed base of Middle Frasnian begins the first appearance of Palmatolepis punctata, the nearly concurrent appearance of Ancyrodella gigas serves as a related indicator that corresponds to the base of TR cycle IIc of Johnson et al. (1985) and the Middlesex deepening in eastern North America. Palmatolepis punctata is a widely distributed and widely recognized taxon = base of Palm. punctata conodont zone"	242/237/173		
	E	382.69		Base of Frasnian	242/237/173		
	Lt	384.99		Late Givetian base put at base of Sch. hermanni conodont zone	241/225/133		
	M	386.92		Middle Givetian base put at base of Po. varcus conodont zone	241/225/133		
	E	387.72		Base of Givetian	241/225/133		
	Lt	393.25		Base of Eifelian	241/213/118		
	TOP	399.01	dotted	Subdivision of Emsian--  tentatively (the only proposal so far as of early 2014)--  is the base of tentaculite Nowakia cancellata boundary; although base of N. elegans is also being discussed.  This will be close to the regional substage Zlçchovian-Dalejan transition in its Bohemian type region	229/208/117		
	E (after 2018?)	406.11	dotted	"DOTTED -- Becker (2016 email and edits):  ""Therefore, in 2008, the SDS decided to shift the base of the Emsian to a higher level; and current discussions center on the FAD of the conodont Eolinguipolygnathus excavatus M114 of that group (about 1.5 myr above current GSSP) and on which section in eastern Uzbekistan is most suitable.""  In earlier discussions, the level for the revised Emsian GSSP was also considered to be about 1-myr higher at the extinction of graptolites (at Bohemian or Lower Zlichov anoxic event -- based on comments in Devonian Subcomm newslettesr of 2013 and 2014, about 2.2 myr higher than current GSSP)."	229/208/117		
	Lt. Pragian (after 2018)	407.57		"FAD of Eocostapolygnathus kitabicus = Base of Emsian Stage (current, but to be revised in 2018 after 10-yr moratorium; at which time it will become base of Late Pragian substage).  Formerly Polygnathus kitabicus."	229/196/104		
	 	410.78			229/196/104		
	 	420.2			230/245/225		
